file,NrOfLines,NrOfCommentLines,NrOfPragmaLines,NrOfEmptyLines
./source/sc/beh/Adapter.cpp,399,21,1,41
./source/sc/beh/Adapter.h,503,216,6,41
./source/sc/beh/Adapter_amba.cpp,90,13,1,10
./source/sc/beh/Adapter_amba.h,50,18,9,2
./source/sc/beh/CommonMem.h,93,21,3,7
./source/sc/beh/Scoreboard.cpp,154,8,1,11
./source/sc/beh/Scoreboard.h,52,14,4,3
./source/sc/beh/SimpleBusLT.h,193,35,8,34
./source/sc/beh/at_initiator.cpp,524,124,2,86
./source/sc/beh/at_initiator.h,116,48,7,13
./source/sc/beh/attic/adapter_iosf.h,110,8,0,11
./source/sc/beh/attic/at_target_2_phase.cpp,357,57,2,56
./source/sc/beh/attic/at_target_2_phase.h,141,38,6,23
./source/sc/beh/attic/debugReg.cpp,104,17,1,13
./source/sc/beh/attic/debugReg.h,69,32,6,12
./source/sc/beh/attic/dmi_memory.cpp,230,44,1,28
./source/sc/beh/attic/dmi_memory.h,121,64,2,10
./source/sc/beh/attic/emu_initiator.cpp,121,9,6,17
./source/sc/beh/attic/emu_initiator.h,79,19,11,12
./source/sc/beh/attic/ia_initiator.h,228,9,11,20
./source/sc/beh/attic/ia_target.h,169,1,6,22
./source/sc/beh/attic/initiator_top.cpp,87,23,2,10
./source/sc/beh/attic/initiator_top.h,67,14,4,16
./source/sc/beh/attic/memory.cpp,262,81,2,25
./source/sc/beh/attic/memory.h,119,60,5,16
./source/sc/beh/attic/sparsemem_proxy.cpp,64,1,9,8
./source/sc/beh/attic/sparsemem_proxy.h,37,0,7,9
./source/sc/beh/attic/tlmbase_target.cpp,99,1,3,12
./source/sc/beh/attic/tlmbase_target.h,62,13,9,8
./source/sc/beh/attic/traffic_generator.cpp,286,29,3,36
./source/sc/beh/attic/traffic_generator.h,175,31,6,37
./source/sc/beh/common_defs.h,165,23,37,21
./source/sc/beh/constants.h,49,5,1,5
./source/sc/beh/custom_io_if.h,30,16,3,4
./source/sc/beh/lt_initiator.cpp,379,32,4,26
./source/sc/beh/lt_initiator.h,139,52,9,17
./source/sc/beh/lt_initiator_trace.cpp,124,2,2,9
./source/sc/beh/lt_initiator_trace.h,72,8,8,9
./source/sc/beh/lt_initiator_verification.cpp,91,5,4,10
./source/sc/beh/lt_initiator_verification.h,48,10,5,6
./source/sc/beh/lt_target.cpp,190,1,3,20
./source/sc/beh/lt_target.h,105,21,10,15
./source/sc/beh/memory_busif.cpp,357,58,3,4
./source/sc/beh/memory_busif.h,154,46,6,20
./source/sc/beh/memory_if.h,85,31,5,13
./source/sc/beh/report.cpp,298,5,1,19
./source/sc/beh/report.h,23,2,5,4
./source/sc/beh/scan_hierarchy.h,123,19,5,9
./source/sc/beh/signal_initiator.cpp,129,9,2,14
./source/sc/beh/signal_initiator.h,73,21,8,11
./source/sc/beh/signal_target.cpp,88,9,2,11
./source/sc/beh/signal_target.h,63,20,6,11
./source/sc/beh/sparsemem.cpp,825,114,36,53
./source/sc/beh/sparsemem.h,167,89,6,11
./source/sc/beh/tb_mod_init_options.cpp,224,1,11,33
./source/sc/beh/tb_mod_init_options.h,74,18,2,9
./source/sc/beh/tlm2_sparsemem.cpp,102,2,1,11
./source/sc/beh/tlm2_sparsemem.h,106,28,7,17
./source/sc/tb/controll.h,62,1,4,11
./source/sc/tb/sc_main.cpp,54,2,7,4
./source/sc/tb/scv_tr_sqlite.cpp,347,23,22,16
./source/sc/tb/sqlite3.h,7690,6442,383,205
./source/sc/tb/tb_options.cpp,224,9,11,32
./source/sc/tb/tb_options.h,94,26,2,11
./source/sc/tb/top.h,60,8,8,11
./source/sc/tb/top_wrapper.cpp,38,4,4,4
./source/sc/tb/top_wrapper.h,17,1,3,2
./source/sc/tb/unit_tb.cpp,121,11,4,6
./source/sc/tb/unit_tb.h,61,16,15,6
./source/sc/tb/unit_tb_common.cpp,647,1,1,18
./source/sc/tb/unit_tb_common.h,120,1,15,15
./source/sc/tb_reference/SystemC_events/main.cpp,31,15,2,2
./source/sc/tb_reference/SystemC_events/top.h,15,1,2,2
./source/sc/tb_reference/SystemC_signal/main.cpp,59,32,3,5
./source/sc/tb_reference/SystemC_signal/signal_master.cpp,47,8,1,7
./source/sc/tb_reference/SystemC_signal/signal_master.h,57,19,3,12
./source/sc/tb_reference/SystemC_signal/signal_slave.cpp,54,21,1,8
./source/sc/tb_reference/SystemC_signal/signal_slave.h,54,19,3,11
./source/sc/tb_reference/SystemC_signal/top.h,32,5,3,4
./source/sc/tb_reference/SystemC_trans/main.cpp,26,12,2,2
./source/sc/tb_reference/SystemC_trans/master.h,125,30,6,16
./source/sc/tb_reference/SystemC_trans/slave.h,75,22,5,14
./source/sc/tb_reference/SystemC_trans/top.h,25,2,4,6
./source/sc/tb_reference/plain_C/main.cpp,103,6,3,8
./source/sc/tb_reference/read_elf/main.cpp,218,91,7,19
./source/sc/tb_reference/sandbox/sandbox.cpp,99,13,13,6
./source/sc/tb_reference/sandbox/tb_options.cpp,223,9,11,32
./source/sc/tb_reference/sandbox/tb_options.h,94,26,2,11
